age	phenotype_name	date	yeardate	value.correction
1	DiastolicIntervals_StdDev	230614	140623	0.0155998831009875
1	DiastolicIntervals_StdDev	180614	140618	-0.0141330830758566
1	DiastolicIntervals_StdDev	250614	140625	0.0343145102481442
1	DiastolicIntervals_StdDev	10715	150701	-0.0129132277283862
1	DiastolicIntervals_StdDev	20715	150702	0.032878708827816
1	DiastolicIntervals_StdDev	60416	160406	-0.00285778058251254
1	DiastolicIntervals_StdDev	90316	160309	-0.016837864834669
1	DiastolicIntervals_StdDev	90715	150709	0.0156835905594182
1	DiastolicIntervals_StdDev	100715	150710	-0.00128559648776403
1	DiastolicIntervals_StdDev	140316	160314	-0.0141793949825052
1	DiastolicIntervals_StdDev	150316	160315	-0.0268108872415011
1	DiastolicIntervals_StdDev	220316	160322	-0.0125529764854031
1	DiastolicIntervals_StdDev	300316	160330	-0.00431328701946431
1	DiastolicIntervals_StdDev	300615	150630	0.0292751740815142
1	DiastolicIntervals_StdDev	250215	150225	-0.0200124932471066
1	DiastolicIntervals_StdDev	260115	150126	0.0268619318848845
1	DiastolicIntervals_StdDev	21214	141202	0.00878623407918308
1	DiastolicIntervals_StdDev	100614	140610	0.00305718987214004
1	DiastolicIntervals_StdDev	80316	160308	0.0230376296096211
1	DiastolicIntervals_StdDev	120416	160412	-0.0101610156847125
1	DiastolicIntervals_StdDev	160316	160316	-0.00332014458938867
1	DiastolicIntervals_StdDev	200215	150220	-0.0211196553228178
1	DiastolicIntervals_StdDev	170316	160317	0.0422026640530732
1	DiastolicIntervals_StdDev	230316	160323	-0.000106254720930431
1	DiastolicIntervals_StdDev	161215	151216	-0.00816770452405164
1	DiastolicIntervals_StdDev	171215	151217	-0.0301244624244644
1	DiastolicIntervals_StdDev	181215	151218	-0.0260019718006572
1	DiastolicIntervals_StdDevOnMedian	240215	150224	-0.0311211638492994
1	DiastolicIntervals_StdDevOnMedian	260215	150226	-0.138059751546465
1	DiastolicIntervals_StdDevOnMedian	270115	150127	-0.121699661387185
1	DiastolicIntervals_StdDevOnMedian	280115	150128	-0.0603224605934025
1	DiastolicIntervals_StdDevOnMedian	31214	141203	-0.0729444165861743
1	DiastolicIntervals_StdDevOnMedian	40614	140604	0
1	DiastolicIntervals_StdDevOnMedian	50614	140605	-0.000812524379538589
1	DiastolicIntervals_StdDevOnMedian	60614	140606	-0.0161031571445009
1	DiastolicIntervals_StdDevOnMedian	101214	141210	-0.141493613407935
1	DiastolicIntervals_StdDevOnMedian	111214	141211	-0.0168342522727886
1	DiastolicIntervals_StdDevOnMedian	190614	140619	-0.116815704325682
1	DiastolicIntervals_StdDevOnMedian	230614	140623	-0.0926462405723424
1	DiastolicIntervals_StdDevOnMedian	180614	140618	-0.112866124446265
1	DiastolicIntervals_StdDevOnMedian	250614	140625	-0.0155570357782197
1	DiastolicIntervals_StdDevOnMedian	10715	150701	-0.108674192496904
1	DiastolicIntervals_StdDevOnMedian	20715	150702	-0.0688620240440514
1	DiastolicIntervals_StdDevOnMedian	90316	160309	-0.0831184275258988
